id,meter_code,asset_code,relation_type,is_primary,verification_status,confidence,source,notes
058803c1-ed11-45cd-9843-a5f15609304a,CT-004,AST-CAND-004,MEASURES,0,UNVERIFIED,HIGH,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Bãi Cont 2 - Cẩu Khung RTG-02'"", ""questions"": [""Is the meter mounted on crane RTG-02 or at the yard plug kiosk?"", ""Can this mobile crane relocate across container yard presentation zones?"", ""Does the LCD unit provide digital pulse/telemetry output?""]}"
b563c50e-6d5e-4996-ba10-5d52333db440,CT-005,AST-CAND-005,MEASURES,0,UNVERIFIED,HIGH,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Kho Hàng 1 - Tủ Phân Phối Tổng'"", ""questions"": [""What sub-circuits or warehouse rooms are fed downstream from this switchboard?"", ""Where in Warehouse 1 is the physical switchboard located?""]}"
434917ee-b7f6-4e14-accb-308db3cef65f,CT-006,AST-CAND-006,MEASURES,0,UNVERIFIED,HIGH,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Kho Hàng 2 - Cụm Bơm Nước Chữa Cháy'"", ""questions"": [""CRITICAL: Does this meter measure electric motor kWh or water volume m3?"", ""Where is the meter physically mounted (pump room wall vs motor conduit)?"", ""Is consumption periodic (monthly test drills) or continuous?""]}"
f4bedb84-e790-4960-8b4f-8e3b4bda4ee3,CT-007,AST-CAND-007,MEASURES,0,UNVERIFIED,HIGH,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Cổng Kiểm Soát - Trạm Barie Số 1'"", ""questions"": [""Does this meter measure barrier drive motor, weighbridge, or lane lighting?"", ""Where is the physical meter cabinet installed?""]}"
c519d74e-c6c5-4dd5-94e2-df94a86b9455,CT-008,AST-CAND-008,MEASURES,0,UNVERIFIED,MEDIUM,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Cổng Kiểm Soát - Nhà Điều Hành Phụ'"", ""questions"": [""What loads are connected (lighting, HVAC, access control computers)?"", ""Is the auxiliary office a fixed permanent structure or modular guard cabin?""]}"
7930d512-ac14-4782-8212-19d2ab47744d,CT-009,AST-CAND-009,MEASURES,0,UNVERIFIED,MEDIUM,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Trạm Biến Áp 1 - Xuất Tuyến Trung Thế'"", ""questions"": [""Which feeder line or port section does this medium voltage feeder supply?"", ""What safety procedures and clearance are required for operator manual reads?""]}"
e807cd14-3738-4351-baab-cf8977b786d0,CT-010,AST-CAND-010,MEASURES,0,UNVERIFIED,HIGH,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Trạm Biến Áp 2 - Máy Biến Áp Phụ Tải 2'"", ""questions"": [""Is the meter installed on primary MV or secondary LV side of Transformer 2?"", ""What transformation ratio and CT multiplier are used for kWh calculation?"", ""Which downstream distribution panels does Transformer 2 supply?""]}"
be176e51-8b7f-4a40-bbb0-7871473bb78b,CT-011,AST-CAND-011,MEASURES,0,UNVERIFIED,MEDIUM,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Xưởng Cơ Khí - Tủ Động Lực Gia Công'"", ""questions"": [""What machine tools (lathes, milling machines, welders) are powered by this panel?"", ""Is the meter mounted on the workshop wall or switchboard panel front?""]}"
ce3d6542-b2a2-469c-9e29-dc51b1aeb17a,CT-012,AST-CAND-012,MEASURES,0,UNVERIFIED,HIGH,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Xưởng Bảo Trì - Trạm Khí Nén & Cấp Nguồn'"", ""questions"": [""Does this meter measure electric compressor power or compressed air pressure/flow?"", ""Where is the physical reading register face oriented?""]}"
cf249083-6b33-4268-add2-22c15f9ad80f,CT-002,TEST-A1-CFA71B,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
618873e0-a1bc-47ac-b3da-ce0fe4f8de38,CT-002,TEST-A2-25E05E,INSTALLED_AT,0,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
9e23462b-aec0-4385-a217-77438a8ba2c0,CT-002,TEST-A1-1386AE,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
d13c450d-0a6d-497d-a9d8-f87081c1da6b,CT-002,TEST-A2-9346C3,INSTALLED_AT,0,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
49283f62-a4c8-4e0c-a1ad-7eea1d0dea2e,CT-002,TEST-A1-F4A843,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
ccfb9304-f8a1-480e-a116-93dd6a73f024,CT-002,TEST-A2-BA6D95,INSTALLED_AT,0,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
0816fe17-ad0c-40d1-8b8c-086b2738667a,CT-001,AST-SW-8038,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
5bdd6544-5b6a-4dbd-a831-ad7182ff8805,CT-001,AST-RTG-e504,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
b333dd4b-9451-4099-8876-7f7a30476a87,CT-001,AST-NEW-SW-6bd1,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
6513797a-f905-46c5-ac41-b5e44d3695f9,CT-001,AST-SW-8038,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
2a92450c-f705-47d5-b71c-bd22ff44d008,CT-002,TEST-A1-BB5940,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
1a215076-8a08-424a-bfd8-74a9b66d4733,CT-002,TEST-A2-B68DE3,INSTALLED_AT,0,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
9c1d1bc5-2a0b-4cf0-a0d3-f5e78fc9d3ee,CT-001,AST-SW-a5fb,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
118ce980-4e00-4401-a516-d6339f59cbcb,CT-001,AST-RTG-48d4,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
4dc6a647-9a0f-4270-987e-bf1cf3409bac,CT-001,AST-NEW-SW-11a5,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
24209304-3052-4ab1-830c-a192988793f5,CT-001,AST-SW-a5fb,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
545b6d6c-6e2a-4b76-b6ec-1d50dbea804c,CT-002,TEST-A1-72C18C,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
e2f86e2a-d792-4646-82db-bfbd59ef20b3,CT-002,TEST-A2-B27741,INSTALLED_AT,0,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
9e4ac6cf-1b98-4f16-ad5b-6a615859ed6f,CT-001,AST-SW-a369,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
4ca942d1-8d17-48e8-a7e4-adc8203dfbd8,CT-001,AST-RTG-ed2e,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
73f20548-cc0a-4583-9fd9-e4061cd63116,CT-001,AST-NEW-SW-ef99,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
4229b608-3cec-4b64-bac0-a34ed03c406d,CT-001,AST-SW-a369,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
9a32f07e-9f27-4331-aad7-4db942941de1,CT-002,TEST-A1-E4EB98,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
4cf8886c-5485-46d5-ba16-3a644598dd3a,CT-002,TEST-A2-DB8A56,INSTALLED_AT,0,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
0645801c-ea43-4492-aa4c-0f0be1dc1557,CT-001,AST-SW-3b29,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
4f9c6a3f-75a0-49f2-8a72-117a485d055d,CT-001,AST-RTG-4ed5,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
e1d0db24-939a-4ef8-ac30-417aaa4e3738,CT-001,AST-NEW-SW-4d8d,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
a618ffc2-c7be-4ec0-b365-bac82000e651,CT-001,AST-SW-3b29,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
a3e8db05-52b5-40e5-b667-856ee48d7d91,CT-002,TEST-A1-55A031,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
37ea26e1-ada7-40d7-9503-de15b49cb20e,CT-002,TEST-A2-DAD78D,INSTALLED_AT,0,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
ceb23715-0566-4ef5-95cc-4d95930402fd,CT-001,AST-SW-81d1,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
af08b6b2-cf72-4deb-838c-d5ecd5794acd,CT-001,AST-RTG-5679,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
ed0aaa5a-6fa0-48ee-accb-0e5632a8ae6b,CT-001,AST-NEW-SW-2f17,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
ea449d1e-6895-46a9-bc7c-5b85cb0659b2,CT-001,AST-SW-81d1,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
42515ec3-93c6-4230-9eae-c50bb7a893bc,CT-002,TEST-A1-BC97BC,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
7d4448f6-d2dc-4641-8a4d-7c5f7df1dcb2,CT-002,TEST-A2-01BD1C,INSTALLED_AT,0,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
b961adf8-684f-4f8e-bb60-b7283a54b83a,CT-001,AST-SW-8216,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
e329f31c-0b01-4a1b-97e8-c46d8d5737d8,CT-001,AST-RTG-1d93,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
1b5a8483-f06e-48bd-8164-48bd38f71a9b,CT-001,AST-NEW-SW-0fce,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
273860b4-2f19-405b-81f3-1541acbb07dd,CT-001,AST-SW-8216,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
b8184c7b-0ee9-4db5-907d-55fab83b5a88,CT-002,TEST-A1-1C0FF7,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
fe330f7d-ea68-4753-86e8-cf9d7c6aaaa8,CT-002,TEST-A2-932D7E,INSTALLED_AT,0,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
06c91661-e936-4251-8816-49f9d91689ea,CT-001,AST-SW-49b4,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
af271529-0ef9-4d31-9f36-e315b6a6fc55,CT-001,AST-RTG-abf4,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
fcf19bd2-7478-4c54-bc81-4eb099649cac,CT-001,AST-NEW-SW-7c08,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
2fe6e21b-97af-4905-a228-ddc42c2af304,CT-001,AST-SW-49b4,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
389202d5-4263-4fdb-a096-cfa313457980,CT-002,TEST-A1-4BF0B3,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
484febbb-7501-4c2e-b807-f51a1e1020ee,CT-002,TEST-A2-8C0889,INSTALLED_AT,0,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
0c4a63ed-2c42-4055-b3bf-3835be20f4fe,CT-001,AST-SW-4925,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
b9096104-61d3-43e1-a722-0786762b2ad5,CT-001,AST-RTG-ee7d,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
f58ee6c8-4a53-41d9-88a5-b4d5e46be16c,CT-001,AST-NEW-SW-e54e,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
287c4f59-7f49-48aa-bd1e-6ba6c5f2cc8d,CT-001,AST-SW-4925,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
849d1c67-232b-4d11-92c9-212005fdc517,CT-002,TEST-A1-002485,INSTALLED_AT,0,VERIFIED,MEDIUM,MANUAL_ENTRY,
a9dcf7a8-ac13-4f47-b002-986636e07030,CT-002,TEST-A2-3855AA,INSTALLED_AT,1,VERIFIED,MEDIUM,DISCOVERY_PROPOSAL,
