meter_code,name,location,meter_type,utility_type,lifecycle_status,is_active,data_origin,scenario_id,db_map_x,db_map_y,coord_type,canvas_x,canvas_y,spatial_status,assigned_zone_id,assigned_pres_zone_id,target_v2_zones,actual_containing_zones,containment_status,notes
CT-011,Công tơ Bãi Container 1,Bãi Container,LCD,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.6115,0.5323,NORMALIZED_RATIO,939.26,545.08,VALID,zone-container,pres-container-center,ZONE_CONTAINER,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_CONTAINER']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
CT-012,Công tơ Bãi Container 2,Bãi Container,MECHANICAL,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.7321,0.5164,NORMALIZED_RATIO,1124.51,528.79,VALID,zone-container,pres-container-center,ZONE_CONTAINER,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_CONTAINER']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
SIM-EM-001,Công tơ tổng MDB-01 Trạm kỹ thuật,,LCD,ELECTRICITY,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.7258,0.676,NORMALIZED_RATIO,1114.83,692.22,VALID,,pres-technical,ZONE_ADMIN,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_ADMIN']; Data origin is SIMULATED"
SIM-EM-002,Công tơ xuất tuyến Cầu cảng,,LCD,ELECTRICITY,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.4674,0.3654,NORMALIZED_RATIO,717.93,374.17,VALID,,pres-berth,ZONE_QUAY,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_QUAY']; Data origin is SIMULATED"
SIM-EM-003,Công tơ xuất tuyến Bãi Tây,,LCD,ELECTRICITY,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.3943,0.5542,NORMALIZED_RATIO,605.64,567.5,VALID,,pres-container-west,ZONE_CONTAINER,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_CONTAINER']; Data origin is SIMULATED"
SIM-EM-004,Công tơ xuất tuyến Bãi Trung tâm,,LCD,ELECTRICITY,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.5979,0.5786,NORMALIZED_RATIO,918.37,592.49,VALID,,pres-container-center,ZONE_CONTAINER,BLDG_KHO_4,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in ['BLDG_KHO_4'], expected ['ZONE_CONTAINER']; Data origin is SIMULATED"
SIM-EM-005,Công tơ xuất tuyến Kho CFS,,LCD,ELECTRICITY,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.8695,0.4446,NORMALIZED_RATIO,1335.55,455.27,VALID,,pres-cfs-east,ZONE_CONTAINER|ZONE_GENERAL,ZONE_CONTAINER,INSIDE_ASSIGNED_ZONE,Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Data origin is SIMULATED
SIM-EM-006,Công tơ phụ tải Xưởng Cơ điện,,LCD,ELECTRICITY,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.6997,0.7004,NORMALIZED_RATIO,1074.74,717.21,VALID,,pres-technical,ZONE_ADMIN,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_ADMIN']; Data origin is SIMULATED"
SIM-EM-007,Công tơ nhánh Cẩu RTG-W01,,LCD,ELECTRICITY,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.2454,0.5786,NORMALIZED_RATIO,376.93,592.49,VALID,,pres-container-west,ZONE_CONTAINER,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_CONTAINER']; Data origin is SIMULATED"
SIM-EM-008,Công tơ Giàn lạnh Container,,LCD,ELECTRICITY,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.7285,0.4811,NORMALIZED_RATIO,1118.98,492.65,VALID,,pres-container-center,ZONE_CONTAINER,ZONE_CONTAINER,INSIDE_ASSIGNED_ZONE,Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Data origin is SIMULATED
SIM-WM-001,Đồng hồ nước tổng Cổng Cảng,,MECHANICAL,WATER,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.7363,0.6882,NORMALIZED_RATIO,1130.96,704.72,VALID,,pres-technical,ZONE_ADMIN,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_ADMIN']; Data origin is SIMULATED"
SIM-WM-002,Đồng hồ nước cấp Cầu tàu,,MECHANICAL,WATER,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.5901,0.4263,NORMALIZED_RATIO,906.39,436.53,VALID,,pres-berth,ZONE_QUAY,ZONE_CONTAINER,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in ['ZONE_CONTAINER'], expected ['ZONE_QUAY']; Data origin is SIMULATED"
SIM-WM-003,Đồng hồ nước sinh hoạt Kho CFS,,MECHANICAL,WATER,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.8668,0.408,NORMALIZED_RATIO,1331.4,417.79,VALID,,pres-cfs-east,ZONE_CONTAINER|ZONE_GENERAL,ZONE_CONTAINER,INSIDE_ASSIGNED_ZONE,Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Data origin is SIMULATED
SIM-WM-004,Đồng hồ mạng cấp nước Cứu hỏa,,MECHANICAL,WATER,ACTIVE,True,SIMULATED,tan-thuan-demo-v1,0.7389,0.6395,NORMALIZED_RATIO,1134.95,654.85,VALID,,pres-technical,ZONE_ADMIN,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_ADMIN']; Data origin is SIMULATED"
